"DA spot SC","RL actuals SC","RL MK SC","RL diff SC","VAR SC","DA spot","Trend"
-4.99956230359729,-2.66610690844606,-3.77041080884895,-4.73746018306387,-4.75822901332458,-5.41,-7.96964025922058
-1.98311240233663,0.481891900432107,-0.608251026763845,-1.55952227448078,-1.56562880787946,-1.89,-4.82918271098612
-5.04845889791836,-2.42532368474512,-3.49555227889196,-4.41620122549241,-4.41409085717449,-4.75,-7.66577552864082
-0.940665877954348,2.0074018984406,0.888732930233868,-0.0104876760014534,-0.0402005305719761,-3.47,-3.10613540233646
-4.27441305743596,-0.873064196444055,-2.0795507832843,-2.94780344490736,-3.03908096780335,-4.66,-5.78852654254486
-5.36238742893976,-1.19968429782747,-2.6112288442035,-3.45426780830123,-3.67468547969149,-6.43,-6.1117256461595
-6.26464668797024,-0.968898325261851,-2.7411388925827,-3.58004669756452,-4.0114716443399,-5.88,-6.1240454987062
-7.33570432972865,-0.595564559363325,-2.88123347167891,-3.71380919677397,-4.44650462750376,-7.07,-6.33795054212016
-4.6328566211747,3.70556418850225,0.769683322492202,-0.0479455833470226,-1.16880431411639,-6.5,-3.12405268384143
-0.475712002048613,9.39038891529166,5.69436865688,4.83987984343613,3.28013773728735,-3.94,0.955593856616588
-1.87561438986199,9.31675335946027,4.84776626201699,3.92794972595509,1.92770887565552,-1.71,-0.98389248789902
-2.80758015751199,9.29838297337776,4.14611372767334,3.09329574080797,0.729984009867415,-1.66,-2.78061437014379
-4.20619651490593,8.31666779720194,2.65558414442079,1.41762290881421,-1.18640465844588,-2.74,-5.15357357887459
-4.83393495106673,7.64235428696504,1.67505036837664,0.208234136156488,-2.49793542176494,-1.8,-6.72387072419698
-1.55065016731066,10.4383629024271,4.37874663310446,2.62069515736209,-0.0307242926147211,-1.04,-4.28676683476852
-1.88877960600404,9.09339599132208,3.20418584414059,1.08792543923846,-1.32079070928419,-3.47,-5.28368236755274
-0.870176693886648,8.98379421314422,3.35597667424699,0.819141814042183,-1.25890337403863,-2.48,-4.77103421572846
-3.08050983233009,5.82034540828467,0.368256909519715,-2.6292293184196,-4.40835709834489,-2.03,-7.44727825585231
-3.64866090625922,4.4728459421916,-0.811980859412508,-4.21967988149785,-5.72199517059776,-0.980000000000004,-8.21668691766317
-2.83296140807998,4.56510380897166,-0.441706652664237,-4.09657779541255,-5.3224110039332,2.18000000000001,-7.25199548728889
-3.31022637036756,3.35340465588194,-1.27027978405586,-4.94460264560382,-5.93440375816275,3.21,-7.48619535275635
-2.26079003424182,3.73894118673276,-0.474351642263052,-4.01602235378249,-4.82158696407347,3.75,-6.09238735908226
0.00874188230366357,5.42697150462548,1.60635418140773,-1.73942627075582,-2.39956788510316,3.69,-3.48473244015268
2.11460187284183,6.99962083371067,3.54511994260501,0.400162108064016,-0.132566679684288,4.21,-1.06015720341814
3.02785285178919,-0.222720388928785,1.55440018004853,1.59577199693052,2.66019138634527,7.95,-1.49490141812556
0.286432345006613,-2.95318866510846,-0.999391637473021,-1.03873973422575,0.0519303005005529,3.68,-4.26281437729021
2.39889825943166,-0.601448263532719,1.47522615059618,1.3712488282811,2.46768999340262,5.89,-1.95054910170472
6.76363569590861,4.35271454310431,6.4380530150169,6.35410253475042,7.45230334908617,5.73,3.10504175658813
8.10840025317248,6.55375138376942,8.58456149868795,8.56644540432396,9.65884497814902,5.7,5.50869756805511
6.33805725605346,6.03761318450952,7.91781548977481,8.06932687606465,9.1680703953386,5.66,5.20348393714903
9.62386908028839,10.9341174192697,12.5690475585544,13.0169113201848,14.1515613409267,11,10.3827916744233
8.49646717882655,11.4139262429237,12.773559062435,13.6153755217192,14.8247883707624,7.73,11.2084366328994
7.52982206480393,11.6233834179128,12.6996057523911,14.0153446746617,15.3412478762359,7.62,11.7403463943198
7.32296953457026,12.0251077013875,12.7081521087656,14.6099307692445,16.0865678590957,7.53,12.384312072944
-0.920425701327819,3.86549984627102,4.11162006068217,6.62812751917307,8.2661519869668,1.35,4.37538661738244
-9.32455972123966,-4.87007511880984,-5.10564648945477,-1.99881427142675,-0.208103955877579,-6.35,-4.25166356795512
-11.2459881218032,-7.34327042360049,-8.07135545638838,-4.46192719236967,-2.55319675969037,-6.89,-6.63471039196027
-11.8893925636641,-8.57235796543047,-9.77106852504327,-5.77662575268602,-3.79113606568464,-9.03,-7.8048110974297
-12.147131411986,-9.30979594801823,-10.9447311159035,-6.69193686530846,-4.66703924260702,-13.09,-8.5353118581708
-6.6164322790224,-4.06542188719203,-6.10003717038472,-1.74342562294975,0.269857225503628,-10.05,-3.31880030628427
-3.58769305921627,-1.04780860776168,-3.45835887194597,0.948811148132801,2.94591180003959,-9.05,-0.359990708293601
-7.35174518978433,-4.63589919214441,-7.48742546667714,-2.95127306719814,-0.947015390479912,-11.06,-3.96199716095776
-11.6718197675025,-8.6010821648861,-11.8144042910089,-7.18176330183729,-5.17020527248236,-13.81,-7.87250333206487
-12.4542190353926,-8.98776871950589,-12.329909169512,-7.77407426892544,-5.79471163450836,-12.08,-8.21487334287322
-10.6744192934183,-7.07837086013167,-10.3288416732374,-6.02244148402887,-4.13376542565966,-14.01,-6.37431551506437
-12.0794599757548,-8.58505193549578,-11.5952069847991,-7.62996549486468,-5.85733655853885,-12.9,-7.93618789937112
