"DA spot SC","RL actuals SC","RL MK SC","RL diff SC","VAR SC"
-7.3884737994312,-5.58495003568859,-6.32923310285024,-6.85156408291072,-6.94028073622749
-4.26152223194791,-2.42732412913478,-3.18729853470587,-3.70788343184189,-3.80865777559035
-7.10919479786648,-5.24613757218145,-6.02162337823746,-6.54109077107652,-6.65342534018139
-2.55827321926065,-0.668194769737738,-1.45899606367412,-1.97795548024171,-2.10135324677557
-5.24708673852423,-3.33184764703284,-4.13775254156503,-4.65679445928463,-4.79075883246795
-5.57447708447265,-3.6359606157176,-4.45674124888099,-4.97643709457408,-5.12047192077521
-5.58882207455371,-3.62893417607521,-4.46434671122516,-4.9852488611112,-5.13885842384639
-5.80265118262457,-3.82332048479822,-4.67310511061008,-5.19574689030653,-5.35843591023989
-2.58664134804724,-0.589819164084052,-1.45370009455314,-1.97859577907545,-2.14986941401898
1.49708817774289,3.50942785179652,2.63174237735491,2.10409756359331,1.92473371867971
-0.436409204329046,1.58945128093321,0.698268997883837,0.167398881071499,-0.0195612059199206
-2.22530117894056,-0.187939244186865,-1.09229462579924,-1.62684716887174,-1.82090996719664
-4.58865456677047,-2.54183322707794,-3.45902202252853,-3.99769506446859,-4.1983674805305
-6.14763500984633,-4.09341899260296,-5.02308554248694,-5.56629810529998,-5.77308748265032
-3.69756856874765,-1.63804528417684,-2.57981795440934,-3.12797000949877,-3.34038412883683
-4.67994073235993,-2.61722027352047,-3.57071145533663,-4.12418392350383,-4.34173100267679
-4.15123342578397,-2.08744856857005,-3.05225467852495,-3.61140942996931,-3.83359812397224
-6.80996755749835,-4.74727376063956,-5.72297524060827,-6.28815509492716,-6.51449449590301
-7.56048058916393,-5.50105599422525,-6.48721731140282,-7.0587460375916,-7.28874567483119
-6.57557283883051,-4.52161827021234,-5.51778791711376,-6.09597023356579,-6.32914007350785
-6.78830072644696,-4.74203969138508,-5.74775018584534,-6.33287176035198,-6.56872220658308
-5.37183012895195,-3.33550881751754,-4.35027670269159,-4.94260415244218,-5.18064604569682
-2.7403870121535,-0.716274297253143,-1.73960014161591,-2.33938103319778,-2.57912565135831
-0.290963015424122,1.7186495472002,0.687281149853813,0.0798183004553437,-0.161140757641316
-1.63980602259791,-1.02439123208837,-0.99792364208877,-0.348876190270447,0.0216764094687925
-4.44518760517468,-3.8072925557278,-3.7924393506081,-3.13094204154625,-2.7563808500248
-2.16821029651619,-1.50913680313346,-1.50622774361884,-0.831872019905811,-0.453684361626079
2.85420967465191,3.53319879816304,3.52385302955227,4.21145882003435,4.59287021635985
5.22674810211348,5.92442904313963,5.90253684208804,6.60376744616725,6.98797924813741
4.89240701363841,5.60759496076026,5.5728838011573,6.28809706037194,6.67466533189704
10.0445136430972,10.7760627860895,10.7282792200295,11.4578160706281,11.8462762719298
10.8448202668284,11.59162379666,11.5305334544421,12.2747179273834,12.6645849149948
11.3531908898917,12.1141809987253,12.0395685888537,12.7987078098066,13.1894758365723
11.9753530498636,12.7495009310562,12.6611702402399,13.4355544295835,13.8266971446592
3.94629611867169,4.73261196677418,4.63038585992691,5.42028833275072,5.81125878160384
-4.69927707595726,-3.90174406519982,-4.01802364495928,-3.21234647885574,-2.82211585444654
-7.0993020195977,-6.29146364924623,-6.42193568059428,-5.60024431670119,-5.21134167864582
-8.28489953172922,-7.46762860365058,-7.61241298705873,-6.77448482615608,-6.38751894005306
-9.02947936284212,-8.20360967770912,-8.36280723544401,-7.50843658360155,-7.12403681873799
